date,election_year,pollster,sample_size,Labour,National,NewLabour,Alliance,NZ First,ACT,United Future,Green,Progressive,Te Pāti Māori,Mana,Conservative,InternetMana,TOP,incumbent,incumbent_support,gdp_real,gdp_growth_qoq,gdp_growth_yoy,gdp_per_capita,inflation_yoy,food_inflation,housing_inflation,petrol_inflation,gdp_real_lag1,gdp_growth_qoq_lag1,gdp_growth_yoy_lag1,gdp_per_capita_lag1,inflation_yoy_lag1,food_inflation_lag1,housing_inflation_lag1,petrol_inflation_lag1,gdp_real_lag2,gdp_growth_qoq_lag2,gdp_growth_yoy_lag2,gdp_per_capita_lag2,inflation_yoy_lag2,food_inflation_lag2,housing_inflation_lag2,petrol_inflation_lag2,gdp_real_lag4,gdp_growth_qoq_lag4,gdp_growth_yoy_lag4,gdp_per_capita_lag4,inflation_yoy_lag4,food_inflation_lag4,housing_inflation_lag4,petrol_inflation_lag4
1993-09-04,1993,,,36.0,39.0,,11.0,11.0,,,,,,,,,,National,39.0,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518
1993-10-02,1993,,,37.0,37.0,,13.0,12.0,,,,,,,,,,National,37.0,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1993-10-17,1993,,,34.0,38.0,,16.0,10.0,,,,,,,,,,National,38.0,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1993-10-31,1993,,,32.0,39.0,,17.0,9.0,,,,,,,,,,National,39.0,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1993-11-06,1993,,,34.68,35.05,,18.21,8.4,,,,,,,,,,National,35.05,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1993-11-06,1996,,,34.68,35.05,,18.21,8.4,,,,,,,,,,National,35.05,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1993-12-04,1996,,,25.0,35.0,,27.0,10.0,,,,,,,,,,National,35.0,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,28037.0,2.1,2.373388834118373,7879.0,0.9649121719802256,2.714535942614882,,3.8970456500060813,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863
1994-02-19,1996,,,32.0,35.0,,23.0,8.0,,,,,,,,,,National,35.0,29569.0,1.9,7.680262199562993,8236.0,1.3913043006261727,-0.17196903191629698,,-6.843979598297933,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064
1994-03-05,1996,,,32.0,32.0,,27.0,7.0,,,,,,,,,,National,32.0,29569.0,1.9,7.680262199562993,8236.0,1.3913043006261727,-0.17196903191629698,,-6.843979598297933,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064
1994-03-26,1996,,,29.0,32.0,,27.0,7.0,,,,,,,,,,National,32.0,29569.0,1.9,7.680262199562993,8236.0,1.3913043006261727,-0.17196903191629698,,-6.843979598297933,29031.0,2.7,7.113603660111423,8115.0,1.482127415961343,0.5172414644997847,,-2.912502217096413,28258.0,0.8,2.26919040208462,7919.0,1.3123358715076083,1.4022787196690922,,2.621994189060728,27460.0,1.3,0.6967363403006965,7744.0,1.3215859520167905,1.7497812664566403,,2.943301916207064
